======================================================================
재난 유형별 인식 평균 비교 (N=1,094, 5점 척도)
======================================================================

[심각도 기준 내림차순 정렬]

 재난 유형  심각도 인식 (M)  수집 필요성 (M)  공개 필요성 (M)  기관 간 공유 필요성 (M)
  미세먼지       4.352       3.250       3.028            3.229
    화재       3.860       3.748       3.474            3.782
환경오염사고       3.803       3.411       3.251            3.435
   감염병       3.803       4.019       3.778            3.983
 가뭄/폭염       3.798       3.279       3.101            3.347
 홍수/침수       3.594       3.550       3.352            3.656
 태풍/강풍       3.572       3.497       3.293            3.583
 가축전염병       3.542       3.239       3.073            3.330
    붕괴       3.420       3.619       3.402            3.668
 폭설/한파       3.350       3.344       3.175            3.427
    지진       3.244       3.657       3.464            3.745
   산사태       3.144       3.356       3.205            3.476
    폭발       3.053       3.511       3.380            3.630
 화생방사고       2.889       3.404       3.194            3.478
    해일       2.846       3.305       3.125            3.408

[표준편차]

 재난 유형  심각도 (SD)  수집 필요성 (SD)  공개 필요성 (SD)  공유 필요성 (SD)
  미세먼지     0.773        1.111        1.157        1.095
    화재     0.831        0.928        1.034        0.928
환경오염사고     0.874        0.982        1.074        1.003
   감염병     0.876        0.871        1.000        0.908
 가뭄/폭염     0.815        0.983        1.039        1.018
 홍수/침수     0.796        0.953        1.044        0.936
 태풍/강풍     0.754        0.955        1.029        0.957
 가축전염병     0.811        0.999        1.048        0.994
    붕괴     0.873        0.948        1.060        0.977
 폭설/한파     0.805        0.962        1.025        0.987
    지진     0.900        0.970        1.073        0.962
   산사태     0.832        0.969        1.057        0.984
    폭발     0.923        0.975        1.040        0.973
 화생방사고     0.967        0.995        1.055        1.007
    해일     0.924        0.986        1.036        1.011

주: 5점 리커트 척도 (1=전혀 그렇지 않다, 5=매우 그렇다)
