============================================================
개인정보 유형별 제공 동의 수준
============================================================

  개인정보 유형  제공 동의 수준 (M)    SD    N
       성별         3.780 0.838 1094
       성명         3.622 0.886 1094
     생년월일         3.305 1.007 1094
     전화번호         3.264 1.029 1094
   이메일 주소         3.163 1.061 1094
     위치정보         2.932 1.148 1094
       주소         2.793 1.118 1094
  소속기관 정보         2.753 1.076 1094
     의료정보         2.718 1.171 1094
     통신정보         2.431 1.182 1094
가족 구성원 정보         2.424 1.131 1094
       사진         2.335 1.163 1094
소득 및 소비정보         2.284 1.114 1094
     신용정보         2.041 1.078 1094
계좌 및 금융정보         1.933 1.047 1094
