sample,variable,label
people,q12,지난 1년 동안 개인정보 및 사생활 침해를 받은 경험
people,q12k1_1,침해당한 개인정보 또는 사생활1
people,q12k1_2,침해당한 개인정보 또는 사생활2
people,q12k1_3,침해당한 개인정보 또는 사생활3
people,q12k1_4,침해당한 개인정보 또는 사생활4
people,q12k1_5,침해당한 개인정보 또는 사생활5
people,q12k1_9997,침해당한 개인정보 또는 사생활_기타
people,q12k1_9997et,침해당한 개인정보 또는 사생활_기타내용
people,q14k3_1,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (1) 태풍/강풍
people,q14k3_2,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (2) 홍수/침수
people,q14k3_3,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (3) 지진
people,q14k3_4,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (4) 폭설/한파
people,q14k3_5,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (5) 산사태
people,q14k3_6,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (6) 가뭄/폭염
people,q14k3_7,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (7) 해일
people,q14k3_8,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (8) 화재
people,q14k3_9,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (9) 붕괴
people,q14k3_10,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (10) 폭발
people,q14k3_11,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (11) 화생방사고
people,q14k3_12,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (12) 환경오염사고
people,q14k3_13,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (13) 감염병
people,q14k3_14,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (14) 가축전염병
people,q14k3_15,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (15) 미세먼지
people,q21_1,재난 대응 정부기관에 제공된 개인정보 유출 위험성
people,q22_1,재난 대응 정부기관에 수집된 개인정보가 범죄 등 다른 목적으로 오남용될 가능성
people,q23,재난 대응 정부기관이 개인정보를 수집할 때 발생할 수 있는 위험
people,q23_9997et,재난 대응 정부기관이 개인정보를 수집할 때 발생할 수 있는 위험_기타
people,q28_4,"개인정보, 사생활 보호 제도 및 규제 인지도 - (4) 한국인터넷진흥원에서 ‘개인정보침해 신고센터’를 운영하고 있다"
people,q30_1,"재난 및 안전사고 발생 시, 재난 대응 정부기관 간 피해지역에 있는 주민들이나 재난 피해자에 대한 개인정보를 공유하는 것에 대한 동의"
people,q33_3,"개인정보보호 관련 기관 및 제도 인식 - (3) 재난 발생 시 신속한 재난대응을 위하여 중앙대책본부장 또는 지역대책본부장이 중앙행정기관, 지자체 장 등에게 재난피해자의 성명, 주민등록번호 등 개인정보를 요청할 수 있다"
people,q33_4,개인정보보호 관련 기관 및 제도 인식 - (4) 행정안전부가 지난 2021년 재난 발생 시 제공되는 재난피해자의 개인정보를 안전하게 보호하기 위해 ‘재난피해자 등에 대한 개인 및 위치정보 요청·제공·이용지침’을 제정했다
worker,q3_1,"재난 및 안전사고 대응을 위해 정부와 공공기관이 피해자, 가족 등의 개인정보를 수집, 처리하는 것에 동의한다"
worker,q9,"재난대응 기간 동안 피해지역 주민, 피해자, 가족 등의 개인정보를 수집 경험"
worker,q12,본인 소속기관에서 지난 1년간 개인정보 및 사생활 침해 관련 사고가 발생한 경험
worker,q13_1,발생한 개인정보 및 사생활 침해 사고 - 개인정보처리자가 개인정보를 무단으로 수집
worker,q13_2,발생한 개인정보 및 사생활 침해 사고 - 개인정보처리자의 보안 관리 소홀로 개인정보가 침해
worker,q13_3,발생한 개인정보 및 사생활 침해 사고 - 해킹으로 인해 개인정보가 유출
worker,q13_4,발생한 개인정보 및 사생활 침해 사고 - 유출된 정보가 피싱/스미싱 등 사기성 범죄 활용
worker,q13_5,발생한 개인정보 및 사생활 침해 사고 - 개인정보처리자가 보유 및 이용 기간이 만료된 개인정보를 파기하지 않고 시중에 유통
worker,q13_9997,발생한 개인정보 및 사생활 침해 사고 - 기타
worker,q13_9997et,발생한 개인정보 및 사생활 침해 사고 - 기타값
worker,q14,개인정보 및 사생활 침해 사고의 가장 큰 원인
worker,q14_9997et,개인정보 및 사생활 침해 사고의 가장 큰 원인 - 기타값
worker,q16k3_1,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (1) 태풍/강풍
worker,q16k3_2,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (2) 홍수/침수
worker,q16k3_3,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (3) 지진
worker,q16k3_4,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (4) 폭설/한파
worker,q16k3_5,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (5) 산사태
worker,q16k3_6,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (6) 가뭄/폭염
worker,q16k3_7,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (7) 해일
worker,q16k3_8,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (8) 화재
worker,q16k3_9,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (9) 붕괴
worker,q16k3_10,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (10) 폭발
worker,q16k3_11,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (11) 화생방사고
worker,q16k3_12,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (12) 환경오염사고
worker,q16k3_13,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (13) 감염병
worker,q16k3_14,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (14) 가축전염병
worker,q16k3_15,재난 발생 대응을 위해 피해자 등에 대한 개인정보 공개 필요성  - (15) 미세먼지
worker,q22_1,재난 대응 정부기관에 수집한 개인정보 유출 위험성
worker,q23_1,재난 대응 정부기관 간에 개인정보를 공유하는 과정에서의 개인정보 유출 위험성
worker,q24_1,재난 대응 정부기관에 수집된 개인정보가 범죄 등 다른 목적으로 오남용될 가능성
worker,q25_1,"재난대응을 위해 수집된 피해지역 주민, 피해자, 피해자 가족의 개인정보가 범죄적 목적이나 2차 피해로 오남용될 가능성"
worker,q27,국가재난관리 정보시스템의 작업 시 발생할 수 있는 개인정보 잠재위험 중 위험성이 가장 높은 것
worker,q27_9997et,국가재난관리 정보시스템의 작업 시 발생할 수 있는 개인정보 잠재위험 중 위험성이 가장 높은 것 - 기타값
worker,q34_1,"재난대응을 위해 필요한 피해지역 주민, 피해자, 피해자 가족의 개인정보가 정부의 지침에 따라 수집되고 활용되고 있다고 생각하는지 여부"
worker,q35_4,"개인정보, 사생활 보호 제도 및 규제 인지도 - (4) 한국인터넷진흥원에서 ‘개인정보침해 신고센터’를 운영하고 있다"
worker,q36_4,"정부와 공공기관이 사상·신념, 노동조합·정당의 가입·탈퇴, 정치적 견해, 건강 등 정보주체의 사생활을 현저히 침해할 우려가 있는 민감정보를 처리하여서는 안 된다"
worker,q36_7,"재난 발생 시 신속한 재난대응을 위하여 중앙대책본부장 또는 지역대책본부장이 중앙행정기관, 지자체 장 등에게 재난피해자의 성명, 주민등록번호 등 개인정보를 요청할 수 있다"
worker,q36_8,행정안전부가 지난 2021년 재난 발생 시 제공되는 재난피해자의 개인정보를 안전하게 보호하기 위해 ‘재난피해자등에 대한 개인 및 위치정보 요청·제공·이용지침’을 제정하였다.
worker,q38_1,"재난 및 안전사고 발생 시, 재난 대응 정부기관 간 피해지역에 있는 주민들이나 재난 피해자에 대한 개인정보를 공유하는 것에 대한 동의"
worker,q40_7,기관에서 재난대응 위해 수집된 개인정보의 안전한 관리 위해 시행하고 있는 조치 - 개인정보 침해사고 발생에 대응하기 위한 접속기록의 보관·점검 및 위조·변조 방지를 위한 조치
