information_type_a,information_type_b,slope_difference_a_minus_b,se,p_raw,p_bonferroni
Habits/preferences,Home address,-0.27750589936552394,0.055793522734247356,6.565258264997298e-07,6.893521178247164e-05
Date of birth,Habits/preferences,0.27319446953230675,0.059113598201129,3.80945026118891e-06,0.00039999227742483555
Financial account,Home address,-0.20490391879344402,0.045057881054413364,5.426858309797499e-06,0.0005698201225287374
Habits/preferences,Phone number,-0.2637355986259446,0.05831264520637635,6.103102054610717e-06,0.0006408257157341252
Habits/preferences,Medical information,-0.22805816144270305,0.05762779950640243,7.575949469950225e-05,0.007954746943447735
Date of birth,Financial account,0.20059248896022683,0.052799678818716285,0.00014520885305833295,0.015246929571124961
Credit information,Home address,-0.17587609468682752,0.04694398022182932,0.00017931180772295076,0.01882773981090983
Financial account,Phone number,-0.19113361805386464,0.05110489349006255,0.00018400139779538768,0.019320146768515706
Affiliation,Habits/preferences,0.17960555525440633,0.049678315014832705,0.00029991742589326165,0.031491329718792475
Communication records,Habits/preferences,0.18617725535387553,0.05248163616112263,0.0003889437003136787,0.04083908853293626
Email address,Habits/preferences,0.19772995290077733,0.0577880174791155,0.0006224403321250104,0.06535623487312608
Family information,Home address,-0.14175567294591923,0.042472524793364635,0.0008450978785999165,0.08873527725299124
Credit information,Date of birth,-0.17156466485361033,0.05433265803658466,0.0015903486968461716,0.16698661316884802
Financial account,Medical information,-0.1554561808706231,0.04960142485065866,0.0017237789125916754,0.18099678582212592
Habits/preferences,Photograph,-0.16143801088862716,0.05172109568966987,0.0018004321598859285,0.1890453767880225
Gender,Habits/preferences,0.19102857840463375,0.06180969928691933,0.001997577332471448,0.20974561990950202
Habits/preferences,Name,-0.19265785066402233,0.06316802853442315,0.0022889729775398943,0.2403421626416889
Credit information,Phone number,-0.16210579394724817,0.05361765845962481,0.002499798883919197,0.2624788828115157
Habits/preferences,Location information,-0.18463738740585706,0.06144932231360982,0.0026583426003284425,0.27912597303448644
Date of birth,Family information,0.13744424311270204,0.04717848810194854,0.003576513883913677,0.37553395781093607
Family information,Phone number,-0.12798537220633988,0.047140495465043696,0.006628032568985943,0.695943419743524
Home address,Photograph,0.11606788847689678,0.043112259187659825,0.007097710990742041,0.7452596540279143
Family information,Habits/preferences,0.1357502264196047,0.05343295957029706,0.011067162726436439,1.0
Credit information,Medical information,-0.1264283567640066,0.05001488227627468,0.011477489670380614,1.0
Affiliation,Financial account,0.1070035746823264,0.04378786224714144,0.014538267902551394,1.0
Communication records,Financial account,0.11357527478179558,0.04675050891432848,0.01512420366248757,1.0
Affiliation,Home address,-0.09790034411111763,0.04038215303362447,0.015335951779771208,1.0
Email address,Financial account,0.12512797232869738,0.05412336246551064,0.02078302094567231,1.0
Credit information,Habits/preferences,0.10162980467869644,0.04458754092898577,0.0226473427298214,1.0
Date of birth,Photograph,0.11175645864367958,0.05012059118100521,0.025763951086933565,1.0
Phone number,Photograph,0.10229758773731742,0.04643928369538434,0.027607126949843717,1.0
Family information,Medical information,-0.09230793502309834,0.04391533606449595,0.03555746766609596,1.0
Financial account,Photograph,-0.08883603031654724,0.04236325377926822,0.03599297533250222,1.0
Financial account,Name,-0.1200558700919424,0.05895079441923656,0.04169578772381007,1.0
Affiliation,Date of birth,-0.09358891427790043,0.046063662341169945,0.04218101998968176,1.0
Financial account,Location information,-0.11203540683377713,0.05541003495583805,0.043183220636864056,1.0
Financial account,Gender,-0.1184265978325538,0.060708927080997954,0.05108942262775813,1.0
Home address,Location information,0.09286851195966689,0.04933153769484011,0.059762956921845474,1.0
Affiliation,Phone number,-0.08413004337153826,0.04560318736220988,0.06506254242261024,1.0
Communication records,Home address,-0.09132864401164845,0.04989489770444018,0.06718708337924402,1.0
Date of birth,Gender,0.08216589112767303,0.045074582177132436,0.06832043585013475,1.0
Date of birth,Name,0.08053661886828443,0.04420173168501949,0.06845133419699506,1.0
Credit information,Email address,-0.09610014822208088,0.05461261400004194,0.07846386921090866,1.0
Communication records,Credit information,0.08454745067517908,0.04889009455313391,0.08374879373304973,1.0
Home address,Name,0.08484804870150163,0.05035887528193181,0.09201407533843585,1.0
Affiliation,Credit information,0.07797575057570989,0.04675610118883003,0.0953727441106023,1.0
Email address,Home address,-0.07977594646474664,0.048151643503423346,0.09756704272135176,1.0
Date of birth,Location information,0.0885570821264497,0.05348927327990619,0.09780193608471907,1.0
Gender,Home address,-0.08647732096089022,0.053932402407936064,0.10883775184925548,1.0
Communication records,Date of birth,-0.08701721417843125,0.05470110693706664,0.11165997093098157,1.0
Name,Phone number,-0.07107774796192226,0.044835442528756035,0.1128975765807064,1.0
Financial account,Habits/preferences,0.07260198057207994,0.046222057031384524,0.1162473437731025,1.0
Location information,Phone number,-0.07909821122008752,0.051137424100379414,0.12191693484765694,1.0
Credit information,Name,-0.09102804598532589,0.06025082798735562,0.13083478273525004,1.0
Date of birth,Email address,0.07546451663152945,0.05034280744173269,0.13387029142795243,1.0
Gender,Phone number,-0.07270702022131084,0.04879375270796946,0.1362009113082036,1.0
Credit information,Location information,-0.08300758272716063,0.05586358881626628,0.13730616033034354,1.0
Family information,Financial account,0.06314824584752478,0.04291118432570182,0.14112800000090886,1.0
Medical information,Photograph,0.06662015055407587,0.04592519684170914,0.14688484452626704,1.0
Credit information,Gender,-0.0893987737259373,0.062226008745395994,0.15080934476628546,1.0
Communication records,Phone number,-0.07755834327206908,0.05540486406640911,0.16155908309013978,1.0
Credit information,Photograph,-0.059808206209930735,0.04358246339584705,0.16997012496513997,1.0
Email address,Phone number,-0.06600564572516726,0.048813199173634726,0.1763084753302332,1.0
Email address,Family information,0.06197972648117261,0.052644771014240165,0.239067923318378,1.0
Family information,Name,-0.056907624244417615,0.054791420928497404,0.29898015340823736,1.0
Communication records,Family information,0.0504270289342708,0.04866453531520123,0.30010082031376006,1.0
Affiliation,Medical information,-0.048452606188296714,0.04682174460215732,0.30074770917247096,1.0
Affiliation,Family information,0.043855328834801616,0.04280103443674759,0.3055366464854691,1.0
Home address,Medical information,0.049447737922820915,0.04932560903820229,0.31611376520504597,1.0
Family information,Gender,-0.05527835198502903,0.05626025780899627,0.32583040125024954,1.0
Family information,Location information,-0.048887160986252357,0.05021905198966813,0.3303156041937526,1.0
Credit information,Financial account,0.0290278241066165,0.031006259950907014,0.34917414897654175,1.0
Location information,Medical information,-0.04342077403684597,0.04735089818640283,0.35914263569641325,1.0
Date of birth,Medical information,0.04513630808960372,0.049739449800653146,0.3641662818771615,1.0
Communication records,Medical information,-0.04188090608882753,0.04959034003228798,0.3983690690831573,1.0
Credit information,Family information,-0.03412042174090828,0.04521796468446578,0.4505030193677183,1.0
Medical information,Phone number,-0.035677437183241546,0.04974163308822866,0.47321674154108295,1.0
Email address,Photograph,0.03629194201215015,0.052814820689579864,0.49198536963832973,1.0
Family information,Photograph,-0.025687784469022458,0.03851501267619508,0.5048008082996418,1.0
Gender,Medical information,-0.0370295830380693,0.05794677337955934,0.5228050274535929,1.0
