factor,item,loading,cr,ave
management_trust,q5_1,0.9260611472154949,,
management_trust,q6_1,0.9260611472154949,,
management_trust,CR,,0.92333571496392,
management_trust,AVE,,,0.8575892483820786
risk_perception,q21_1,0.9264335804004642,,
risk_perception,q22_1,0.9264335804004642,,
risk_perception,CR,,0.9237354522850791,
risk_perception,AVE,,,0.8582791788936234
policy_acceptance,q7_1,0.8905943837832918,,
policy_acceptance,q8_1,0.8954474201208417,,
policy_acceptance,q9_1,0.9002699796915621,,
policy_acceptance,CR,,0.9238836629826903,
policy_acceptance,AVE,,,0.8018234916537527
