info_type,manage_trust_slope,se,ci_low,ci_high,p,sig,mean
Financial account,0.17272028335633494,0.04570443042146399,0.08314124579634871,0.26229932091632113,0.0001574145982769173,***,1.93327239488117
Credit information,0.20174810746295146,0.04748510539037951,0.10867901109571884,0.29481720383018406,2.150522227100348e-05,***,2.041133455210238
Habits/preferences,0.10011830278425501,0.04875326606645901,0.0045636571652966085,0.19567294840321342,0.04001721260312263,*,2.2842778793418645
Photograph,0.2615563136728822,0.047308609190752186,0.1688331435003273,0.35427948384543706,3.225656187798198e-08,***,2.335466179159049
Family information,0.23586852920385973,0.04719301391047284,0.14337192161743517,0.3283651367902843,5.794169660479477e-07,***,2.424131627056673
Communication records,0.2862955581381305,0.05054694318102324,0.1872253699747325,0.38536574630152853,1.4792412645023653e-08,***,2.4314442413162705
Medical information,0.32817646422695806,0.050414822366485965,0.2293652281016612,0.4269877003522549,7.53896282701168e-11,***,2.7184643510054847
Affiliation,0.27972385803866134,0.04684357519759136,0.18791213774428855,0.37153557833303413,2.3516056741156655e-09,***,2.753199268738574
Home address,0.377624202149779,0.04583541052687982,0.2877884483004865,0.4674599559990715,1.7409168276865837e-16,***,2.793418647166362
Location information,0.2847556901901121,0.05113695500625131,0.18452910009881432,0.3849822802814099,2.569544236732768e-08,***,2.9323583180987205
Email address,0.2978482556850323,0.04717849196127069,0.20538011059602929,0.39031640077403534,2.732864367027908e-10,***,3.162705667276051
Phone number,0.3638539014101996,0.044687002701366337,0.27626898553847745,0.4514388172819217,3.8791631537683193e-16,***,3.264168190127971
Date of birth,0.3733127723165618,0.04433562813579121,0.28641653793845034,0.46020900669467324,3.75992950565992e-17,***,3.3053016453382082
Name,0.29277615344827734,0.04180399733133801,0.2108418242690463,0.3747104826275084,2.495666844127322e-12,***,3.6224862888482634
Gender,0.29114688118888876,0.04148211036537656,0.20984343887003504,0.3724503235077425,2.2408140913230038e-12,***,3.779707495429616
